,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
5ab366a8-3174,45,634820,194220,45,39688,1080,434,3378,15,8,163,62,56,118,55
90655d56-1487,2,7338,3775,2,88,88,300,2104,2,1,9758,4,2,6,2
f7a71778-a2ef,1243,2884384,26115,1243,23040,160,308,2149,5,1,30985,86,45,131,65
29306277-5a34,52,327736,36323,52,49520,1016,405,3082,12,5,12,51,61,112,53
2e33ed7d-eae4,7,6970,3088,7,384,128,310,2147,5,3,265,2,6,8,3
a597b718-d78d,6,30783,18082,6,1680,360,405,3074,11,8,21,11,14,25,11
5b026357-3052,1194,91038140,4818743,1194,8460808,627536,405,3080,10,5,1218,126,116,242,122
56481bbb-6056,78,745617,59887,78,36600,736,436,3385,11,6,139,65,53,118,56
a1dfa9de-46e4,68,512341,26666,68,167520,2904,405,3082,12,8,1247031,57,76,133,68
eb6fbe41-d702,2878,2720523272,118171526,2878,492732800,10196984,9700,147998,5,4,259,133,133,266,133
2c496f07-0ec1,5745,43983012,620630,5745,17088336,4960,511,4129,14,10,37431,121,120,241,121
3e4582f9-0d2c,6918,6930329,32850,6918,2549960,1456,126,1234,9,8,4989,100,106,206,103
ce32806f-7c60,159,683352,25076,159,78976,720,492,4040,10,8,1,63,66,129,63
bf0a9298-d3de,36,83333,16239,36,29768,1208,721,6326,25,15,1966,27,49,76,38
d596e59c-4fa4,46,50447,3527,46,200,168,303,2124,3,2,31,18,5,23,10
0f8f087a-d96a,7122,59740725,1044779,7122,24438680,11504,405,3083,13,9,65,123,123,246,124
678b0fec-da58,141,5778827,163114,141,175496,1408,303,2129,10,3,2686,95,78,173,91
